id,category,info,last_updated
72,Pricing,Private room in Pimple Saudagar: ₹17010/month,2025-01-31
73,Availability,2 Private rooms available in Talwade,2025-02-01
74,Locations,"PGs available in Hinjawadi, Kharadi",2025-01-17
75,Offers,Free first-week meals,2025-01-14
76,Offers,₹2000 off for 6-month stays,2025-01-17
77,Locations,"PGs available in Kharadi, Baner",2025-01-28
78,Locations,"PGs available in Baner, Talwade",2025-01-27
79,Availability,6 Private rooms available in Baner,2025-01-24
80,Availability,3 Shared rooms available in Hinjawadi,2025-01-28
81,Availability,8 Executive rooms available in Hinjawadi,2025-01-16
82,Pricing,Executive room in Pimple Saudagar: ₹12378/month,2025-01-25
83,Offers,10% discount for new customers,2025-01-06
84,Availability,9 Private rooms available in Talwade,2025-01-15
85,Pricing,Shared room in Pimple Saudagar: ₹15337/month,2025-01-06
86,Pricing,Shared room in Hinjawadi: ₹17786/month,2025-02-03
87,Offers,₹2000 off for 6-month stays,2025-02-03
88,Offers,Free first-week meals,2025-01-30
89,Availability,8 Private rooms available in Kharadi,2025-01-29
90,Pricing,Executive room in Baner: ₹11757/month,2025-01-04
91,Pricing,Executive room in Baner: ₹17819/month,2025-01-17
92,Pricing,Shared room in Hinjawadi: ₹8496/month,2025-01-11
93,Pricing,Executive room in Hinjawadi: ₹18003/month,2025-01-04
94,Offers,Free first-week meals,2025-01-16
95,Availability,4 Shared rooms available in Baner,2025-01-14
96,Pricing,Executive room in Talwade: ₹10025/month,2025-01-31
97,Locations,"PGs available in Talwade, Baner, Hinjawadi",2025-01-11
98,Availability,10 Private rooms available in Baner,2025-01-18
99,Offers,₹2000 off for 6-month stays,2025-01-17
100,Offers,Free first-week meals,2025-01-21
101,Locations,"PGs available in Baner, Talwade",2025-01-22
102,Pricing,Shared room in Talwade: ₹9229/month,2025-01-25
103,Availability,6 Private rooms available in Hinjawadi,2025-01-07
104,Offers,₹2000 off for 6-month stays,2025-01-11
105,Locations,"PGs available in Baner, Talwade, Pimple Saudagar, Hinjawadi",2025-01-29
106,Locations,"PGs available in Hinjawadi, Baner",2025-01-07
107,Pricing,Private room in Kharadi: ₹13330/month,2025-01-13
108,Locations,"PGs available in Talwade, Pimple Saudagar, Baner, Kharadi, Hinjawadi",2025-01-24
109,Locations,"PGs available in Baner, Hinjawadi, Kharadi",2025-01-11
110,Pricing,Private room in Baner: ₹19399/month,2025-01-12
111,Availability,10 Shared rooms available in Talwade,2025-01-28
112,Availability,4 Executive rooms available in Pimple Saudagar,2025-01-23
113,Offers,10% discount for new customers,2025-01-04
114,Availability,2 Private rooms available in Pimple Saudagar,2025-01-07
115,Pricing,Executive room in Kharadi: ₹11305/month,2025-01-08
116,Pricing,Shared room in Baner: ₹9466/month,2025-01-16
117,Availability,6 Shared rooms available in Baner,2025-01-17
118,Availability,7 Private rooms available in Hinjawadi,2025-01-08
119,Offers,10% discount for new customers,2025-01-10
120,Offers,₹2000 off for 6-month stays,2025-01-13
121,Availability,8 Executive rooms available in Talwade,2025-01-14
122,Availability,10 Private rooms available in Kharadi,2025-01-06
123,Offers,₹2000 off for 6-month stays,2025-01-12
124,Offers,10% discount for new customers,2025-01-25
125,Availability,3 Private rooms available in Kharadi,2025-01-25
126,Pricing,Private room in Talwade: ₹9217/month,2025-01-23
127,Availability,3 Private rooms available in Talwade,2025-01-29
128,Availability,8 Executive rooms available in Kharadi,2025-01-08
129,Availability,9 Shared rooms available in Kharadi,2025-01-15
130,Locations,"PGs available in Pimple Saudagar, Hinjawadi",2025-01-27
131,Pricing,Shared room in Talwade: ₹9252/month,2025-01-29
132,Locations,"PGs available in Kharadi, Hinjawadi",2025-01-28
133,Locations,"PGs available in Pimple Saudagar, Talwade, Kharadi",2025-01-23
134,Availability,8 Executive rooms available in Kharadi,2025-01-06
135,Locations,"PGs available in Kharadi, Baner, Talwade",2025-01-17
136,Locations,"PGs available in Pimple Saudagar, Hinjawadi",2025-01-10
137,Offers,10% discount for new customers,2025-01-20
138,Availability,3 Private rooms available in Kharadi,2025-01-08
139,Availability,6 Private rooms available in Pimple Saudagar,2025-01-23
140,Pricing,Private room in Baner: ₹16669/month,2025-01-25
141,Locations,"PGs available in Hinjawadi, Talwade, Pimple Saudagar, Baner",2025-02-02
142,Locations,"PGs available in Hinjawadi, Kharadi, Talwade",2025-01-04
143,Offers,Free first-week meals,2025-01-05
144,Availability,9 Shared rooms available in Pimple Saudagar,2025-01-14
145,Offers,10% discount for new customers,2025-01-12
146,Availability,1 Private rooms available in Talwade,2025-01-11
147,Availability,6 Private rooms available in Talwade,2025-01-19
148,Pricing,Executive room in Pimple Saudagar: ₹10270/month,2025-01-09
149,Pricing,Shared room in Pimple Saudagar: ₹11559/month,2025-01-13
150,Availability,8 Executive rooms available in Baner,2025-01-29
151,Locations,"PGs available in Kharadi, Talwade, Hinjawadi, Baner",2025-01-30
152,Availability,2 Executive rooms available in Kharadi,2025-01-23
153,Pricing,Private room in Talwade: ₹11036/month,2025-01-30
154,Pricing,Executive room in Kharadi: ₹8309/month,2025-01-17
155,Offers,10% discount for new customers,2025-01-14
156,Pricing,Private room in Talwade: ₹18615/month,2025-01-14
157,Availability,7 Executive rooms available in Kharadi,2025-01-04
158,Availability,1 Private rooms available in Kharadi,2025-01-29
159,Locations,"PGs available in Pimple Saudagar, Kharadi, Talwade",2025-01-18
160,Pricing,Executive room in Baner: ₹13674/month,2025-01-30
161,Availability,4 Executive rooms available in Pimple Saudagar,2025-01-24
162,Locations,"PGs available in Pimple Saudagar, Baner, Talwade, Kharadi, Hinjawadi",2025-01-24
163,Pricing,Executive room in Pimple Saudagar: ₹17919/month,2025-01-07
164,Availability,8 Private rooms available in Pimple Saudagar,2025-01-27
165,Offers,10% discount for new customers,2025-01-28
166,Offers,Free first-week meals,2025-01-31
167,Availability,10 Shared rooms available in Talwade,2025-01-31
168,Locations,"PGs available in Baner, Kharadi, Talwade, Pimple Saudagar",2025-01-08
169,Pricing,Executive room in Kharadi: ₹15699/month,2025-01-17
170,Offers,₹2000 off for 6-month stays,2025-01-09
171,Availability,7 Shared rooms available in Baner,2025-01-13
172,Locations,"PGs available in Pimple Saudagar, Hinjawadi",2025-01-18
173,Offers,10% discount for new customers,2025-01-30
174,Availability,6 Executive rooms available in Hinjawadi,2025-01-04
175,Offers,10% discount for new customers,2025-01-16
176,Locations,"PGs available in Kharadi, Hinjawadi, Pimple Saudagar",2025-01-24
177,Offers,Free first-week meals,2025-01-07
178,Pricing,Private room in Talwade: ₹10886/month,2025-01-27
179,Offers,Free first-week meals,2025-01-15
180,Pricing,Shared room in Baner: ₹10402/month,2025-01-23
181,Pricing,Private room in Hinjawadi: ₹8987/month,2025-01-17
182,Offers,Free first-week meals,2025-01-14
183,Offers,Free first-week meals,2025-01-14
184,Pricing,Private room in Baner: ₹11292/month,2025-01-29
185,Availability,5 Shared rooms available in Baner,2025-01-10
186,Offers,Free first-week meals,2025-01-07
187,Offers,Free first-week meals,2025-01-31
188,Availability,7 Executive rooms available in Talwade,2025-01-09
189,Availability,4 Private rooms available in Pimple Saudagar,2025-01-27
190,Offers,10% discount for new customers,2025-01-22
191,Availability,6 Executive rooms available in Baner,2025-01-14
192,Locations,"PGs available in Hinjawadi, Talwade, Kharadi",2025-01-11
193,Locations,"PGs available in Kharadi, Pimple Saudagar, Baner",2025-01-15
194,Pricing,Shared room in Talwade: ₹14427/month,2025-01-13
195,Availability,10 Executive rooms available in Pimple Saudagar,2025-01-24
196,Availability,3 Shared rooms available in Baner,2025-01-21
197,Pricing,Shared room in Hinjawadi: ₹13145/month,2025-01-22
198,Availability,8 Shared rooms available in Hinjawadi,2025-01-07
199,Availability,1 Shared rooms available in Baner,2025-01-29
200,Locations,"PGs available in Talwade, Pimple Saudagar, Baner",2025-01-08
201,Availability,5 Private rooms available in Baner,2025-02-03
202,Offers,₹2000 off for 6-month stays,2025-01-18
203,Offers,Free first-week meals,2025-01-04
204,Offers,₹2000 off for 6-month stays,2025-01-12
205,Pricing,Executive room in Talwade: ₹11876/month,2025-01-26
206,Pricing,Private room in Pimple Saudagar: ₹11795/month,2025-01-26
207,Offers,₹2000 off for 6-month stays,2025-02-01
208,Pricing,Private room in Kharadi: ₹16877/month,2025-01-31
209,Pricing,Executive room in Baner: ₹19390/month,2025-01-17
210,Locations,"PGs available in Baner, Pimple Saudagar, Kharadi, Talwade",2025-01-14
211,Availability,10 Shared rooms available in Hinjawadi,2025-01-08
212,Availability,1 Shared rooms available in Talwade,2025-01-31
213,Offers,Free first-week meals,2025-01-17
214,Pricing,Shared room in Talwade: ₹11498/month,2025-02-01
215,Availability,7 Private rooms available in Hinjawadi,2025-01-18
216,Availability,9 Executive rooms available in Kharadi,2025-01-14
217,Offers,Free first-week meals,2025-01-23
218,Locations,"PGs available in Talwade, Pimple Saudagar, Baner",2025-01-22
219,Pricing,Private room in Talwade: ₹10914/month,2025-01-26
220,Availability,9 Executive rooms available in Talwade,2025-01-31
221,Pricing,Private room in Talwade: ₹14775/month,2025-01-14
222,Availability,2 Private rooms available in Baner,2025-01-24
223,Offers,10% discount for new customers,2025-02-03
224,Availability,10 Private rooms available in Hinjawadi,2025-01-30
225,Availability,7 Executive rooms available in Hinjawadi,2025-01-19
226,Availability,7 Private rooms available in Baner,2025-01-15
227,Pricing,Executive room in Hinjawadi: ₹8540/month,2025-01-29
228,Offers,Free first-week meals,2025-01-08
229,Locations,"PGs available in Hinjawadi, Pimple Saudagar, Kharadi, Baner",2025-01-27
230,Availability,8 Shared rooms available in Pimple Saudagar,2025-02-01
231,Offers,Free first-week meals,2025-02-03
232,Availability,4 Private rooms available in Baner,2025-01-23
233,Offers,Free first-week meals,2025-01-23
234,Locations,"PGs available in Kharadi, Hinjawadi, Talwade, Pimple Saudagar, Baner",2025-01-14
235,Locations,"PGs available in Talwade, Baner, Kharadi, Pimple Saudagar",2025-01-31
236,Locations,"PGs available in Talwade, Pimple Saudagar, Kharadi, Baner",2025-01-04
237,Availability,8 Shared rooms available in Hinjawadi,2025-01-13
238,Pricing,Private room in Pimple Saudagar: ₹13307/month,2025-01-18
239,Availability,5 Shared rooms available in Hinjawadi,2025-01-10
240,Locations,"PGs available in Talwade, Hinjawadi",2025-01-15
241,Locations,"PGs available in Pimple Saudagar, Kharadi, Hinjawadi, Baner, Talwade",2025-01-20
242,Offers,Free first-week meals,2025-01-15
243,Pricing,Private room in Pimple Saudagar: ₹13900/month,2025-01-29
244,Locations,"PGs available in Baner, Pimple Saudagar, Kharadi, Talwade, Hinjawadi",2025-01-10
245,Locations,"PGs available in Hinjawadi, Baner",2025-01-22
246,Availability,7 Shared rooms available in Kharadi,2025-01-30
247,Offers,10% discount for new customers,2025-01-16
248,Locations,"PGs available in Kharadi, Hinjawadi, Talwade, Baner",2025-01-16
249,Locations,"PGs available in Kharadi, Talwade",2025-01-09
250,Pricing,Private room in Talwade: ₹14045/month,2025-01-19
251,Availability,1 Executive rooms available in Pimple Saudagar,2025-02-02
252,Pricing,Executive room in Hinjawadi: ₹9786/month,2025-01-16
253,Availability,10 Executive rooms available in Kharadi,2025-01-10
254,Pricing,Executive room in Kharadi: ₹8106/month,2025-01-18
255,Offers,10% discount for new customers,2025-02-02
256,Locations,"PGs available in Baner, Pimple Saudagar",2025-01-31
257,Availability,9 Shared rooms available in Baner,2025-01-04
258,Availability,3 Shared rooms available in Pimple Saudagar,2025-01-14
259,Pricing,Shared room in Pimple Saudagar: ₹18602/month,2025-01-25
260,Availability,10 Shared rooms available in Pimple Saudagar,2025-01-21
261,Offers,Free first-week meals,2025-01-15
262,Availability,4 Private rooms available in Pimple Saudagar,2025-01-26
263,Locations,"PGs available in Baner, Hinjawadi, Pimple Saudagar",2025-01-11
264,Availability,10 Private rooms available in Pimple Saudagar,2025-01-28
265,Availability,2 Shared rooms available in Baner,2025-01-16
266,Availability,1 Private rooms available in Kharadi,2025-01-04
267,Availability,8 Executive rooms available in Pimple Saudagar,2025-01-09
268,Locations,"PGs available in Talwade, Kharadi, Hinjawadi, Pimple Saudagar, Baner",2025-01-21
269,Pricing,Private room in Kharadi: ₹17004/month,2025-01-16
270,Availability,2 Private rooms available in Baner,2025-01-10
271,Offers,10% discount for new customers,2025-01-20
272,Offers,₹2000 off for 6-month stays,2025-01-29
273,Offers,Free first-week meals,2025-01-10
274,Locations,"PGs available in Pimple Saudagar, Hinjawadi",2025-01-23
275,Availability,2 Private rooms available in Talwade,2025-01-05
276,Availability,6 Executive rooms available in Kharadi,2025-01-20
277,Offers,Free first-week meals,2025-01-31
278,Offers,Free first-week meals,2025-01-27
279,Locations,"PGs available in Talwade, Hinjawadi, Kharadi, Baner, Pimple Saudagar",2025-01-14
280,Locations,"PGs available in Baner, Pimple Saudagar, Kharadi, Talwade",2025-01-22
281,Availability,6 Private rooms available in Hinjawadi,2025-01-28
282,Locations,"PGs available in Baner, Kharadi, Hinjawadi, Talwade, Pimple Saudagar",2025-01-10
283,Offers,₹2000 off for 6-month stays,2025-01-31
284,Offers,Free first-week meals,2025-01-07
285,Offers,10% discount for new customers,2025-01-09
286,Availability,9 Executive rooms available in Hinjawadi,2025-01-31
287,Availability,6 Shared rooms available in Pimple Saudagar,2025-01-15
288,Availability,1 Shared rooms available in Baner,2025-01-04
289,Locations,"PGs available in Pimple Saudagar, Hinjawadi",2025-01-09
290,Locations,"PGs available in Hinjawadi, Baner, Talwade, Kharadi",2025-01-17
291,Availability,10 Shared rooms available in Talwade,2025-01-15
292,Offers,₹2000 off for 6-month stays,2025-01-07
293,Availability,7 Shared rooms available in Baner,2025-01-18
294,Locations,"PGs available in Hinjawadi, Pimple Saudagar, Kharadi",2025-02-03
295,Pricing,Shared room in Pimple Saudagar: ₹14257/month,2025-01-07
296,Pricing,Private room in Pimple Saudagar: ₹15755/month,2025-01-22
297,Pricing,Executive room in Baner: ₹9792/month,2025-01-23
298,Offers,10% discount for new customers,2025-01-15
299,Pricing,Private room in Baner: ₹16936/month,2025-01-20
300,Offers,₹2000 off for 6-month stays,2025-01-10
301,Pricing,Shared room in Pimple Saudagar: ₹19090/month,2025-02-01
302,Locations,"PGs available in Kharadi, Hinjawadi",2025-02-02
303,Locations,"PGs available in Baner, Hinjawadi, Kharadi, Pimple Saudagar",2025-01-04
304,Pricing,Executive room in Kharadi: ₹17282/month,2025-01-04
305,Offers,₹2000 off for 6-month stays,2025-01-18
306,Offers,Free first-week meals,2025-01-16
307,Locations,"PGs available in Baner, Kharadi",2025-01-30
308,Locations,"PGs available in Talwade, Hinjawadi, Pimple Saudagar",2025-01-23
309,Offers,Free first-week meals,2025-02-03
310,Availability,5 Executive rooms available in Kharadi,2025-01-09
311,Pricing,Private room in Talwade: ₹14083/month,2025-01-04
312,Locations,"PGs available in Hinjawadi, Pimple Saudagar, Talwade, Kharadi",2025-01-08
313,Locations,"PGs available in Hinjawadi, Pimple Saudagar, Talwade",2025-01-12
314,Availability,2 Private rooms available in Kharadi,2025-02-01
315,Offers,Free first-week meals,2025-01-05
316,Offers,₹2000 off for 6-month stays,2025-01-08
317,Locations,"PGs available in Talwade, Pimple Saudagar, Hinjawadi, Baner, Kharadi",2025-01-05
318,Offers,10% discount for new customers,2025-01-31
319,Offers,10% discount for new customers,2025-01-30
320,Offers,Free first-week meals,2025-01-29
321,Locations,"PGs available in Hinjawadi, Talwade, Baner, Pimple Saudagar, Kharadi",2025-01-14
322,Availability,6 Private rooms available in Baner,2025-01-05
323,Pricing,Private room in Kharadi: ₹16338/month,2025-01-31
324,Pricing,Executive room in Kharadi: ₹15084/month,2025-01-14
325,Offers,10% discount for new customers,2025-01-28
326,Offers,Free first-week meals,2025-01-31
327,Offers,Free first-week meals,2025-01-12
328,Pricing,Executive room in Hinjawadi: ₹12192/month,2025-01-08
329,Pricing,Private room in Pimple Saudagar: ₹16106/month,2025-01-11
330,Locations,"PGs available in Baner, Hinjawadi, Pimple Saudagar, Kharadi, Talwade",2025-01-18
331,Offers,Free first-week meals,2025-01-06
332,Locations,"PGs available in Kharadi, Pimple Saudagar, Baner, Talwade",2025-01-15
333,Availability,8 Shared rooms available in Kharadi,2025-02-02
334,Offers,10% discount for new customers,2025-02-01
335,Offers,10% discount for new customers,2025-01-22
336,Availability,3 Executive rooms available in Baner,2025-02-03
337,Offers,₹2000 off for 6-month stays,2025-01-08
338,Availability,5 Executive rooms available in Kharadi,2025-01-27
339,Locations,"PGs available in Baner, Kharadi",2025-01-06
340,Offers,₹2000 off for 6-month stays,2025-01-31
341,Pricing,Shared room in Kharadi: ₹13969/month,2025-01-15
342,Pricing,Shared room in Talwade: ₹12441/month,2025-01-17
343,Availability,2 Private rooms available in Kharadi,2025-01-11
344,Availability,7 Shared rooms available in Pimple Saudagar,2025-01-19
345,Availability,6 Private rooms available in Hinjawadi,2025-01-29
346,Pricing,Private room in Pimple Saudagar: ₹11353/month,2025-01-15
347,Offers,10% discount for new customers,2025-01-20
348,Availability,6 Executive rooms available in Baner,2025-01-21
349,Locations,"PGs available in Hinjawadi, Kharadi",2025-01-19
350,Pricing,Private room in Talwade: ₹19136/month,2025-01-09
351,Pricing,Executive room in Kharadi: ₹10233/month,2025-01-26
352,Offers,10% discount for new customers,2025-01-19
353,Locations,"PGs available in Pimple Saudagar, Talwade, Baner",2025-01-19
354,Offers,10% discount for new customers,2025-01-21
355,Availability,3 Shared rooms available in Talwade,2025-01-23
356,Availability,6 Shared rooms available in Pimple Saudagar,2025-01-04
357,Locations,"PGs available in Hinjawadi, Kharadi, Talwade",2025-01-22
358,Availability,9 Executive rooms available in Talwade,2025-01-05
359,Locations,"PGs available in Baner, Talwade",2025-01-10
360,Offers,Free first-week meals,2025-01-05
361,Pricing,Executive room in Talwade: ₹17790/month,2025-01-29
362,Availability,1 Private rooms available in Baner,2025-01-16
363,Availability,9 Private rooms available in Pimple Saudagar,2025-01-24
364,Pricing,Shared room in Talwade: ₹14661/month,2025-01-30
365,Locations,"PGs available in Pimple Saudagar, Kharadi",2025-01-28
366,Pricing,Executive room in Kharadi: ₹10983/month,2025-01-18
367,Locations,"PGs available in Baner, Pimple Saudagar, Hinjawadi",2025-01-26
368,Pricing,Private room in Talwade: ₹16914/month,2025-01-11
369,Pricing,Private room in Talwade: ₹13859/month,2025-01-31
370,Pricing,Shared room in Baner: ₹19184/month,2025-01-18
371,Offers,Free first-week meals,2025-01-24
372,Locations,"PGs available in Kharadi, Talwade, Baner, Hinjawadi, Pimple Saudagar",2025-01-31
373,Availability,7 Shared rooms available in Pimple Saudagar,2025-01-04
374,Locations,"PGs available in Baner, Kharadi, Hinjawadi, Talwade, Pimple Saudagar",2025-01-28
375,Locations,"PGs available in Kharadi, Baner",2025-01-31
376,Offers,₹2000 off for 6-month stays,2025-01-20
377,Pricing,Executive room in Pimple Saudagar: ₹19185/month,2025-01-16
378,Offers,10% discount for new customers,2025-01-14
379,Pricing,Private room in Hinjawadi: ₹11086/month,2025-01-25
380,Availability,10 Private rooms available in Kharadi,2025-01-21
381,Offers,10% discount for new customers,2025-01-17
382,Offers,10% discount for new customers,2025-01-08
383,Offers,Free first-week meals,2025-01-16
384,Locations,"PGs available in Baner, Talwade, Pimple Saudagar, Kharadi, Hinjawadi",2025-01-29
385,Availability,7 Private rooms available in Hinjawadi,2025-01-31
386,Availability,4 Shared rooms available in Kharadi,2025-01-21
387,Locations,"PGs available in Kharadi, Pimple Saudagar, Baner",2025-01-04
388,Offers,10% discount for new customers,2025-01-22
389,Locations,"PGs available in Talwade, Baner, Hinjawadi, Kharadi",2025-01-09
390,Locations,"PGs available in Hinjawadi, Kharadi, Talwade, Pimple Saudagar, Baner",2025-01-15
391,Pricing,Shared room in Pimple Saudagar: ₹11669/month,2025-01-18
392,Availability,3 Shared rooms available in Baner,2025-02-01
393,Availability,3 Private rooms available in Hinjawadi,2025-01-08
394,Pricing,Private room in Baner: ₹13787/month,2025-01-06
395,Locations,"PGs available in Talwade, Hinjawadi, Baner, Pimple Saudagar",2025-01-08
396,Locations,"PGs available in Baner, Pimple Saudagar, Talwade",2025-01-20
397,Pricing,Private room in Baner: ₹10069/month,2025-02-03
398,Offers,10% discount for new customers,2025-01-12
399,Pricing,Shared room in Talwade: ₹13159/month,2025-01-07
400,Locations,"PGs available in Hinjawadi, Pimple Saudagar, Talwade",2025-02-02
401,Pricing,Executive room in Kharadi: ₹10891/month,2025-01-18
402,Pricing,Shared room in Pimple Saudagar: ₹16431/month,2025-01-23
403,Availability,6 Shared rooms available in Pimple Saudagar,2025-01-09
404,Availability,3 Shared rooms available in Hinjawadi,2025-01-10
405,Locations,"PGs available in Kharadi, Baner, Talwade, Hinjawadi",2025-01-14
406,Availability,6 Executive rooms available in Talwade,2025-01-05
407,Pricing,Executive room in Pimple Saudagar: ₹12993/month,2025-02-03
408,Locations,"PGs available in Kharadi, Hinjawadi, Talwade",2025-02-02
409,Pricing,Private room in Baner: ₹8662/month,2025-01-27
410,Offers,10% discount for new customers,2025-01-08
411,Offers,Free first-week meals,2025-01-29
412,Pricing,Private room in Kharadi: ₹14166/month,2025-01-19
413,Pricing,Shared room in Talwade: ₹8445/month,2025-01-07
414,Locations,"PGs available in Hinjawadi, Baner, Talwade, Kharadi",2025-01-16
415,Locations,"PGs available in Talwade, Kharadi, Hinjawadi, Baner",2025-01-28
416,Offers,10% discount for new customers,2025-02-02
417,Availability,9 Private rooms available in Baner,2025-01-07
418,Offers,Free first-week meals,2025-02-01
419,Offers,₹2000 off for 6-month stays,2025-01-22
420,Locations,"PGs available in Baner, Talwade, Pimple Saudagar, Kharadi",2025-01-04
421,Pricing,Private room in Kharadi: ₹10117/month,2025-01-21
422,Locations,"PGs available in Kharadi, Pimple Saudagar",2025-01-16
423,Availability,9 Private rooms available in Kharadi,2025-01-23
424,Locations,"PGs available in Pimple Saudagar, Baner, Hinjawadi, Kharadi",2025-01-12
425,Pricing,Shared room in Baner: ₹9596/month,2025-01-30
426,Locations,"PGs available in Hinjawadi, Kharadi, Baner, Pimple Saudagar",2025-01-13
427,Locations,"PGs available in Kharadi, Hinjawadi",2025-01-30
428,Pricing,Shared room in Talwade: ₹12720/month,2025-01-05
429,Locations,"PGs available in Hinjawadi, Pimple Saudagar, Kharadi",2025-01-30
430,Availability,9 Private rooms available in Pimple Saudagar,2025-01-06
431,Pricing,Executive room in Kharadi: ₹13600/month,2025-01-13
432,Pricing,Private room in Pimple Saudagar: ₹10401/month,2025-01-05
433,Availability,10 Shared rooms available in Talwade,2025-02-02
434,Pricing,Executive room in Kharadi: ₹8540/month,2025-01-17
435,Locations,"PGs available in Kharadi, Hinjawadi, Talwade, Baner",2025-01-31
436,Availability,2 Executive rooms available in Hinjawadi,2025-01-13
437,Locations,"PGs available in Talwade, Pimple Saudagar, Kharadi",2025-01-17
438,Locations,"PGs available in Hinjawadi, Pimple Saudagar, Kharadi",2025-01-17
439,Offers,Free first-week meals,2025-01-25
440,Locations,"PGs available in Baner, Talwade, Hinjawadi",2025-01-11
441,Availability,1 Executive rooms available in Hinjawadi,2025-02-03
442,Offers,₹2000 off for 6-month stays,2025-01-15
443,Offers,Free first-week meals,2025-01-10
444,Offers,Free first-week meals,2025-01-04
445,Locations,"PGs available in Talwade, Hinjawadi, Kharadi, Baner",2025-01-26
446,Locations,"PGs available in Hinjawadi, Baner",2025-01-13
447,Offers,Free first-week meals,2025-01-04
