id,question,answer
78,What is the rent for a executive room in Pimple Saudagar?,The rent for a private room in Kharadi starts at ₹14127/month.
79,What is the rent for a shared room in Hinjawadi?,The rent for a executive room in Baner starts at ₹14998/month.
80,What is the rent for a shared room in Talwade?,The rent for a private room in Pimple Saudagar starts at ₹16320/month.
81,What is the rent for a private room in Talwade?,The rent for a executive room in Kharadi starts at ₹13533/month.
82,What is the rent for a private room in Hinjawadi?,The rent for a shared room in Talwade starts at ₹12083/month.
83,What is the rent for a executive room in Baner?,The rent for a shared room in Talwade starts at ₹15814/month.
84,What is the rent for a executive room in Baner?,The rent for a executive room in Talwade starts at ₹19839/month.
85,What is the rent for a executive room in Baner?,The rent for a private room in Baner starts at ₹19893/month.
86,What is the rent for a shared room in Pimple Saudagar?,The rent for a executive room in Baner starts at ₹18448/month.
87,What is the rent for a executive room in Pimple Saudagar?,The rent for a shared room in Talwade starts at ₹19504/month.
88,What is the rent for a executive room in Talwade?,The rent for a private room in Baner starts at ₹14027/month.
89,What is the rent for a shared room in Kharadi?,The rent for a executive room in Talwade starts at ₹9819/month.
90,What is the rent for a executive room in Talwade?,The rent for a executive room in Kharadi starts at ₹12928/month.
91,What is the rent for a executive room in Talwade?,The rent for a shared room in Hinjawadi starts at ₹11064/month.
92,What is the rent for a shared room in Hinjawadi?,The rent for a executive room in Kharadi starts at ₹15021/month.
93,What is the rent for a shared room in Pimple Saudagar?,The rent for a private room in Kharadi starts at ₹12599/month.
94,What is the rent for a executive room in Kharadi?,The rent for a executive room in Kharadi starts at ₹11073/month.
95,What is the rent for a private room in Hinjawadi?,The rent for a executive room in Baner starts at ₹14370/month.
96,What is the rent for a executive room in Pimple Saudagar?,The rent for a executive room in Kharadi starts at ₹12180/month.
97,What is the rent for a executive room in Hinjawadi?,The rent for a private room in Pimple Saudagar starts at ₹14750/month.
98,What is the rent for a private room in Hinjawadi?,The rent for a private room in Talwade starts at ₹12146/month.
99,What is the rent for a private room in Kharadi?,The rent for a shared room in Pimple Saudagar starts at ₹16508/month.
100,What is the rent for a executive room in Hinjawadi?,The rent for a private room in Talwade starts at ₹19979/month.
101,What is the rent for a shared room in Hinjawadi?,The rent for a shared room in Kharadi starts at ₹10814/month.
102,What is the rent for a shared room in Hinjawadi?,The rent for a shared room in Kharadi starts at ₹17427/month.
103,What is the rent for a executive room in Kharadi?,The rent for a private room in Kharadi starts at ₹18139/month.
104,What is the rent for a private room in Baner?,The rent for a private room in Kharadi starts at ₹8475/month.
105,What is the rent for a shared room in Pimple Saudagar?,The rent for a shared room in Pimple Saudagar starts at ₹12215/month.
106,What is the rent for a shared room in Talwade?,The rent for a executive room in Pimple Saudagar starts at ₹9566/month.
107,What is the rent for a shared room in Pimple Saudagar?,The rent for a executive room in Kharadi starts at ₹14938/month.
108,What is the rent for a shared room in Pimple Saudagar?,The rent for a shared room in Pimple Saudagar starts at ₹11429/month.
109,What is the rent for a shared room in Talwade?,The rent for a executive room in Pimple Saudagar starts at ₹9039/month.
110,What is the rent for a shared room in Pimple Saudagar?,The rent for a executive room in Baner starts at ₹13885/month.
111,What is the rent for a shared room in Talwade?,The rent for a executive room in Talwade starts at ₹11746/month.
112,What is the rent for a private room in Pimple Saudagar?,The rent for a shared room in Baner starts at ₹8360/month.
113,What is the rent for a shared room in Hinjawadi?,The rent for a executive room in Kharadi starts at ₹9548/month.
114,What is the rent for a executive room in Hinjawadi?,The rent for a executive room in Pimple Saudagar starts at ₹10880/month.
115,What is the rent for a private room in Hinjawadi?,The rent for a shared room in Pimple Saudagar starts at ₹14648/month.
116,What is the rent for a shared room in Baner?,The rent for a private room in Hinjawadi starts at ₹19116/month.
117,What is the rent for a executive room in Talwade?,The rent for a shared room in Talwade starts at ₹9962/month.
118,What is the rent for a shared room in Pimple Saudagar?,The rent for a shared room in Pimple Saudagar starts at ₹19715/month.
119,What is the rent for a executive room in Hinjawadi?,The rent for a executive room in Baner starts at ₹9778/month.
120,What is the rent for a private room in Hinjawadi?,The rent for a shared room in Baner starts at ₹8998/month.
121,What is the rent for a private room in Baner?,The rent for a private room in Pimple Saudagar starts at ₹16535/month.
122,What is the rent for a private room in Kharadi?,The rent for a private room in Baner starts at ₹15526/month.
123,What is the rent for a shared room in Baner?,The rent for a shared room in Baner starts at ₹9982/month.
124,What is the rent for a executive room in Hinjawadi?,The rent for a shared room in Talwade starts at ₹18940/month.
125,What is the rent for a shared room in Hinjawadi?,The rent for a executive room in Kharadi starts at ₹18255/month.
126,What is the rent for a private room in Kharadi?,The rent for a executive room in Pimple Saudagar starts at ₹18052/month.
127,What is the rent for a executive room in Talwade?,The rent for a shared room in Hinjawadi starts at ₹18101/month.
128,What is the rent for a executive room in Talwade?,The rent for a private room in Hinjawadi starts at ₹14019/month.
129,What is the rent for a private room in Talwade?,The rent for a private room in Talwade starts at ₹11396/month.
130,What is the rent for a executive room in Hinjawadi?,The rent for a private room in Talwade starts at ₹15485/month.
131,What is the rent for a executive room in Baner?,The rent for a executive room in Kharadi starts at ₹17595/month.
132,What is the rent for a executive room in Kharadi?,The rent for a executive room in Hinjawadi starts at ₹17701/month.
133,What is the rent for a private room in Baner?,The rent for a private room in Kharadi starts at ₹10172/month.
134,What is the rent for a executive room in Hinjawadi?,The rent for a private room in Talwade starts at ₹9853/month.
135,What is the rent for a private room in Talwade?,The rent for a executive room in Kharadi starts at ₹16409/month.
136,What is the rent for a shared room in Kharadi?,The rent for a shared room in Kharadi starts at ₹16987/month.
137,What is the rent for a private room in Kharadi?,The rent for a private room in Baner starts at ₹13956/month.
138,What is the rent for a executive room in Kharadi?,The rent for a shared room in Kharadi starts at ₹9741/month.
139,What is the rent for a executive room in Hinjawadi?,The rent for a executive room in Talwade starts at ₹17609/month.
140,What is the rent for a private room in Pimple Saudagar?,The rent for a private room in Hinjawadi starts at ₹16855/month.
141,What is the rent for a executive room in Hinjawadi?,The rent for a shared room in Hinjawadi starts at ₹13603/month.
142,What is the rent for a executive room in Hinjawadi?,The rent for a private room in Pimple Saudagar starts at ₹19925/month.
143,What is the rent for a executive room in Baner?,The rent for a executive room in Kharadi starts at ₹11784/month.
144,What is the rent for a private room in Baner?,The rent for a executive room in Talwade starts at ₹9118/month.
145,What is the rent for a private room in Hinjawadi?,The rent for a shared room in Kharadi starts at ₹9708/month.
146,What is the rent for a shared room in Baner?,The rent for a private room in Kharadi starts at ₹11108/month.
147,What is the rent for a executive room in Baner?,The rent for a private room in Baner starts at ₹16495/month.
148,What is the rent for a private room in Baner?,The rent for a executive room in Hinjawadi starts at ₹12087/month.
149,What is the rent for a private room in Pimple Saudagar?,The rent for a private room in Hinjawadi starts at ₹18174/month.
150,What is the rent for a private room in Talwade?,The rent for a private room in Pimple Saudagar starts at ₹10669/month.
151,What is the rent for a private room in Kharadi?,The rent for a private room in Talwade starts at ₹8375/month.
152,What is the rent for a shared room in Baner?,The rent for a shared room in Talwade starts at ₹16571/month.
153,What is the rent for a shared room in Kharadi?,The rent for a private room in Baner starts at ₹11981/month.
154,What is the rent for a executive room in Pimple Saudagar?,The rent for a private room in Hinjawadi starts at ₹9144/month.
155,What is the rent for a private room in Baner?,The rent for a executive room in Hinjawadi starts at ₹13325/month.
156,What is the rent for a shared room in Hinjawadi?,The rent for a shared room in Kharadi starts at ₹16016/month.
157,What is the rent for a shared room in Pimple Saudagar?,The rent for a private room in Baner starts at ₹9820/month.
158,What is the rent for a private room in Pimple Saudagar?,The rent for a private room in Pimple Saudagar starts at ₹17761/month.
159,What is the rent for a executive room in Talwade?,The rent for a shared room in Talwade starts at ₹12521/month.
160,What is the rent for a private room in Talwade?,The rent for a private room in Hinjawadi starts at ₹14174/month.
161,What is the rent for a executive room in Baner?,The rent for a private room in Baner starts at ₹15538/month.
162,What is the rent for a private room in Baner?,The rent for a executive room in Kharadi starts at ₹9307/month.
163,What is the rent for a private room in Hinjawadi?,The rent for a shared room in Baner starts at ₹11803/month.
164,What is the rent for a private room in Baner?,The rent for a shared room in Baner starts at ₹18739/month.
165,What is the rent for a private room in Talwade?,The rent for a executive room in Talwade starts at ₹14654/month.
166,What is the rent for a executive room in Hinjawadi?,The rent for a private room in Pimple Saudagar starts at ₹19098/month.
167,What is the rent for a shared room in Kharadi?,The rent for a executive room in Kharadi starts at ₹13709/month.
168,What is the rent for a private room in Hinjawadi?,The rent for a executive room in Hinjawadi starts at ₹11745/month.
169,What is the rent for a executive room in Kharadi?,The rent for a shared room in Pimple Saudagar starts at ₹14979/month.
170,What is the rent for a shared room in Baner?,The rent for a executive room in Hinjawadi starts at ₹17747/month.
171,What is the rent for a executive room in Pimple Saudagar?,The rent for a executive room in Kharadi starts at ₹8484/month.
172,What is the rent for a executive room in Baner?,The rent for a private room in Pimple Saudagar starts at ₹12233/month.
173,What is the rent for a private room in Talwade?,The rent for a shared room in Baner starts at ₹9424/month.
174,What is the rent for a shared room in Kharadi?,The rent for a shared room in Hinjawadi starts at ₹14292/month.
175,What is the rent for a shared room in Talwade?,The rent for a shared room in Pimple Saudagar starts at ₹16145/month.
176,What is the rent for a executive room in Kharadi?,The rent for a executive room in Baner starts at ₹16952/month.
177,What is the rent for a executive room in Talwade?,The rent for a private room in Kharadi starts at ₹19548/month.
178,What is the rent for a shared room in Kharadi?,The rent for a private room in Baner starts at ₹17673/month.
179,What is the rent for a shared room in Hinjawadi?,The rent for a private room in Baner starts at ₹16412/month.
180,What is the rent for a shared room in Kharadi?,The rent for a private room in Pimple Saudagar starts at ₹13131/month.
181,What is the rent for a shared room in Hinjawadi?,The rent for a executive room in Hinjawadi starts at ₹10468/month.
182,What is the rent for a private room in Baner?,The rent for a executive room in Baner starts at ₹9963/month.
183,What is the rent for a shared room in Hinjawadi?,The rent for a shared room in Baner starts at ₹18395/month.
184,What is the rent for a shared room in Talwade?,The rent for a private room in Baner starts at ₹11310/month.
185,What is the rent for a executive room in Pimple Saudagar?,The rent for a executive room in Pimple Saudagar starts at ₹16229/month.
186,What is the rent for a shared room in Pimple Saudagar?,The rent for a private room in Pimple Saudagar starts at ₹15794/month.
187,What is the rent for a shared room in Kharadi?,The rent for a shared room in Kharadi starts at ₹15598/month.
188,What is the rent for a shared room in Baner?,The rent for a private room in Talwade starts at ₹18775/month.
189,What is the rent for a private room in Kharadi?,The rent for a private room in Hinjawadi starts at ₹8783/month.
190,What is the rent for a shared room in Hinjawadi?,The rent for a private room in Hinjawadi starts at ₹15360/month.
191,What is the rent for a executive room in Baner?,The rent for a private room in Hinjawadi starts at ₹9742/month.
192,What is the rent for a executive room in Baner?,The rent for a shared room in Baner starts at ₹10383/month.
193,What is the rent for a private room in Pimple Saudagar?,The rent for a shared room in Talwade starts at ₹9059/month.
194,What is the rent for a private room in Pimple Saudagar?,The rent for a private room in Baner starts at ₹17073/month.
195,What is the rent for a private room in Pimple Saudagar?,The rent for a private room in Kharadi starts at ₹18363/month.
196,What is the rent for a private room in Baner?,The rent for a private room in Pimple Saudagar starts at ₹12691/month.
197,What is the rent for a executive room in Baner?,The rent for a private room in Kharadi starts at ₹15513/month.
198,What is the rent for a private room in Pimple Saudagar?,The rent for a shared room in Pimple Saudagar starts at ₹15621/month.
199,What is the rent for a executive room in Talwade?,The rent for a private room in Hinjawadi starts at ₹13035/month.
200,What is the rent for a private room in Talwade?,The rent for a private room in Talwade starts at ₹17865/month.
201,What is the rent for a private room in Baner?,The rent for a private room in Hinjawadi starts at ₹11440/month.
202,What is the rent for a executive room in Baner?,The rent for a private room in Kharadi starts at ₹17947/month.
203,What is the rent for a executive room in Baner?,The rent for a shared room in Hinjawadi starts at ₹18165/month.
204,What is the rent for a private room in Baner?,The rent for a shared room in Hinjawadi starts at ₹15571/month.
205,What is the rent for a shared room in Kharadi?,The rent for a shared room in Baner starts at ₹19633/month.
206,What is the rent for a private room in Kharadi?,The rent for a executive room in Hinjawadi starts at ₹14037/month.
207,What is the rent for a executive room in Hinjawadi?,The rent for a shared room in Talwade starts at ₹15203/month.
208,What is the rent for a private room in Baner?,The rent for a private room in Hinjawadi starts at ₹12007/month.
209,What is the rent for a private room in Baner?,The rent for a shared room in Kharadi starts at ₹13784/month.
210,What is the rent for a private room in Pimple Saudagar?,The rent for a shared room in Pimple Saudagar starts at ₹10040/month.
211,What is the rent for a executive room in Kharadi?,The rent for a executive room in Pimple Saudagar starts at ₹10513/month.
212,What is the rent for a shared room in Kharadi?,The rent for a executive room in Kharadi starts at ₹11134/month.
213,What is the rent for a executive room in Hinjawadi?,The rent for a executive room in Talwade starts at ₹10586/month.
214,What is the rent for a shared room in Pimple Saudagar?,The rent for a shared room in Pimple Saudagar starts at ₹12164/month.
215,What is the rent for a shared room in Talwade?,The rent for a executive room in Kharadi starts at ₹17080/month.
216,What is the rent for a private room in Baner?,The rent for a executive room in Hinjawadi starts at ₹12081/month.
217,What is the rent for a executive room in Hinjawadi?,The rent for a private room in Baner starts at ₹9293/month.
218,What is the rent for a executive room in Hinjawadi?,The rent for a executive room in Talwade starts at ₹13280/month.
219,What is the rent for a private room in Talwade?,The rent for a private room in Pimple Saudagar starts at ₹15223/month.
220,What is the rent for a executive room in Kharadi?,The rent for a executive room in Baner starts at ₹19910/month.
221,What is the rent for a shared room in Talwade?,The rent for a shared room in Hinjawadi starts at ₹10709/month.
222,What is the rent for a private room in Kharadi?,The rent for a private room in Pimple Saudagar starts at ₹17681/month.
223,What is the rent for a private room in Hinjawadi?,The rent for a executive room in Kharadi starts at ₹16446/month.
224,What is the rent for a shared room in Hinjawadi?,The rent for a shared room in Kharadi starts at ₹19488/month.
225,What is the rent for a shared room in Talwade?,The rent for a shared room in Kharadi starts at ₹17809/month.
226,What is the rent for a shared room in Hinjawadi?,The rent for a executive room in Hinjawadi starts at ₹10118/month.
227,What is the rent for a private room in Baner?,The rent for a executive room in Baner starts at ₹14920/month.
228,What is the rent for a shared room in Pimple Saudagar?,The rent for a shared room in Hinjawadi starts at ₹15800/month.
229,What is the rent for a shared room in Pimple Saudagar?,The rent for a private room in Pimple Saudagar starts at ₹15168/month.
230,What is the rent for a shared room in Baner?,The rent for a private room in Talwade starts at ₹12177/month.
231,What is the rent for a shared room in Hinjawadi?,The rent for a executive room in Pimple Saudagar starts at ₹18944/month.
232,What is the rent for a private room in Baner?,The rent for a private room in Kharadi starts at ₹18571/month.
233,What is the rent for a executive room in Pimple Saudagar?,The rent for a executive room in Kharadi starts at ₹14650/month.
234,What is the rent for a shared room in Kharadi?,The rent for a private room in Pimple Saudagar starts at ₹17953/month.
235,What is the rent for a executive room in Talwade?,The rent for a shared room in Hinjawadi starts at ₹11664/month.
236,What is the rent for a private room in Hinjawadi?,The rent for a private room in Pimple Saudagar starts at ₹12563/month.
237,What is the rent for a shared room in Kharadi?,The rent for a executive room in Pimple Saudagar starts at ₹12928/month.
238,What is the rent for a private room in Baner?,The rent for a shared room in Hinjawadi starts at ₹19220/month.
239,What is the rent for a private room in Pimple Saudagar?,The rent for a private room in Hinjawadi starts at ₹15104/month.
240,What is the rent for a shared room in Kharadi?,The rent for a private room in Hinjawadi starts at ₹11005/month.
241,What is the rent for a private room in Baner?,The rent for a executive room in Talwade starts at ₹8807/month.
242,What is the rent for a shared room in Talwade?,The rent for a shared room in Kharadi starts at ₹15104/month.
243,What is the rent for a executive room in Pimple Saudagar?,The rent for a shared room in Baner starts at ₹16652/month.
244,What is the rent for a shared room in Kharadi?,The rent for a shared room in Talwade starts at ₹15239/month.
245,What is the rent for a executive room in Kharadi?,The rent for a shared room in Hinjawadi starts at ₹18000/month.
246,What is the rent for a shared room in Baner?,The rent for a executive room in Pimple Saudagar starts at ₹13390/month.
247,What is the rent for a executive room in Pimple Saudagar?,The rent for a private room in Talwade starts at ₹17876/month.
248,What is the rent for a executive room in Talwade?,The rent for a shared room in Baner starts at ₹9939/month.
249,What is the rent for a private room in Kharadi?,The rent for a shared room in Baner starts at ₹14923/month.
250,What is the rent for a private room in Pimple Saudagar?,The rent for a private room in Pimple Saudagar starts at ₹15140/month.
251,What is the rent for a executive room in Pimple Saudagar?,The rent for a shared room in Talwade starts at ₹12171/month.
252,What is the rent for a private room in Talwade?,The rent for a executive room in Pimple Saudagar starts at ₹10732/month.
253,What is the rent for a private room in Kharadi?,The rent for a shared room in Hinjawadi starts at ₹8528/month.
254,What is the rent for a shared room in Kharadi?,The rent for a executive room in Kharadi starts at ₹12866/month.
255,What is the rent for a private room in Hinjawadi?,The rent for a private room in Pimple Saudagar starts at ₹18990/month.
256,What is the rent for a shared room in Kharadi?,The rent for a private room in Baner starts at ₹18105/month.
257,What is the rent for a shared room in Pimple Saudagar?,The rent for a private room in Baner starts at ₹14864/month.
258,What is the rent for a executive room in Hinjawadi?,The rent for a private room in Pimple Saudagar starts at ₹8651/month.
259,What is the rent for a private room in Hinjawadi?,The rent for a executive room in Talwade starts at ₹18455/month.
260,What is the rent for a shared room in Pimple Saudagar?,The rent for a executive room in Kharadi starts at ₹17532/month.
261,What is the rent for a executive room in Kharadi?,The rent for a private room in Pimple Saudagar starts at ₹8417/month.
262,What is the rent for a private room in Talwade?,The rent for a private room in Pimple Saudagar starts at ₹14573/month.
263,What is the rent for a executive room in Kharadi?,The rent for a executive room in Baner starts at ₹10316/month.
264,What is the rent for a shared room in Kharadi?,The rent for a shared room in Kharadi starts at ₹17608/month.
265,What is the rent for a executive room in Hinjawadi?,The rent for a shared room in Talwade starts at ₹18741/month.
266,What is the rent for a executive room in Talwade?,The rent for a shared room in Talwade starts at ₹8002/month.
267,What is the rent for a shared room in Kharadi?,The rent for a private room in Talwade starts at ₹15439/month.
268,What is the rent for a executive room in Kharadi?,The rent for a shared room in Baner starts at ₹15411/month.
269,What is the rent for a executive room in Pimple Saudagar?,The rent for a shared room in Talwade starts at ₹13584/month.
270,What is the rent for a executive room in Baner?,The rent for a private room in Kharadi starts at ₹14700/month.
271,What is the rent for a executive room in Hinjawadi?,The rent for a executive room in Talwade starts at ₹17002/month.
272,What is the rent for a private room in Kharadi?,The rent for a private room in Kharadi starts at ₹19883/month.
273,What is the rent for a executive room in Talwade?,The rent for a shared room in Talwade starts at ₹14560/month.
274,What is the rent for a executive room in Kharadi?,The rent for a executive room in Pimple Saudagar starts at ₹11175/month.
275,What is the rent for a private room in Talwade?,The rent for a executive room in Hinjawadi starts at ₹10113/month.
276,What is the rent for a shared room in Hinjawadi?,The rent for a private room in Baner starts at ₹13402/month.
277,What is the rent for a shared room in Hinjawadi?,The rent for a executive room in Talwade starts at ₹12987/month.
278,What is the rent for a executive room in Kharadi?,The rent for a executive room in Pimple Saudagar starts at ₹11383/month.
279,What is the rent for a shared room in Talwade?,The rent for a executive room in Pimple Saudagar starts at ₹14054/month.
280,What is the rent for a private room in Pimple Saudagar?,The rent for a shared room in Pimple Saudagar starts at ₹10510/month.
281,What is the rent for a executive room in Baner?,The rent for a private room in Talwade starts at ₹18714/month.
282,What is the rent for a executive room in Talwade?,The rent for a shared room in Kharadi starts at ₹10106/month.
283,What is the rent for a private room in Baner?,The rent for a executive room in Baner starts at ₹13018/month.
284,What is the rent for a shared room in Hinjawadi?,The rent for a executive room in Pimple Saudagar starts at ₹18468/month.
285,What is the rent for a shared room in Hinjawadi?,The rent for a shared room in Kharadi starts at ₹13033/month.
286,What is the rent for a private room in Hinjawadi?,The rent for a private room in Kharadi starts at ₹9476/month.
287,What is the rent for a executive room in Kharadi?,The rent for a shared room in Hinjawadi starts at ₹8942/month.
288,What is the rent for a shared room in Pimple Saudagar?,The rent for a executive room in Talwade starts at ₹13334/month.
289,What is the rent for a executive room in Kharadi?,The rent for a private room in Pimple Saudagar starts at ₹18750/month.
290,What is the rent for a shared room in Baner?,The rent for a shared room in Kharadi starts at ₹11729/month.
291,What is the rent for a executive room in Baner?,The rent for a private room in Hinjawadi starts at ₹10685/month.
292,What is the rent for a executive room in Baner?,The rent for a private room in Baner starts at ₹10479/month.
293,What is the rent for a executive room in Hinjawadi?,The rent for a shared room in Pimple Saudagar starts at ₹9265/month.
294,What is the rent for a shared room in Talwade?,The rent for a executive room in Baner starts at ₹9471/month.
295,What is the rent for a shared room in Talwade?,The rent for a shared room in Hinjawadi starts at ₹12399/month.
296,What is the rent for a shared room in Hinjawadi?,The rent for a shared room in Talwade starts at ₹19664/month.
297,What is the rent for a shared room in Hinjawadi?,The rent for a executive room in Hinjawadi starts at ₹8984/month.
298,What is the rent for a executive room in Hinjawadi?,The rent for a private room in Hinjawadi starts at ₹9802/month.
299,What is the rent for a private room in Kharadi?,The rent for a shared room in Hinjawadi starts at ₹15067/month.
